e1,e2,lcs,cls,nw,anw,sw,lv,ap,slv,me,ja,jw,isub,req,sub,qgr
"taaable:White_basmati_rice","dbpedia:White_Star_Line","","-",-7.0,-7.0,15.0,-7.0,33.0,0.38888888888888884,0.4933333333333333,0.18831908831908828,0.11299145299145297,0.8043533930857873,1.0,0.8375478927203066,0.75
"taaable:Brown_mustard","dbpedia:Brown,_Michael","","-",-6.0,-6.0,13.0,-6.0,24.0,0.4285714285714286,0.6153846153846154,0.271062271062271,0.16263736263736261,0.7963824289405685,1.0,0.7435616438356165,0.7916666666666666
"taaable:Orange","dbpedia:Grainger","","-",-3.0,-3.0,9.0,-3.0,12.0,0.375,0.4,0.18055555555555547,0.18055555555555547,0.9092664092664093,1.0,0.9092664092664093,0.7692307692307692
"taaable:Orange","dbpedia:Granie","","-",-2.0,-2.0,7.0,-2.0,11.0,0.33333333333333326,0.43333333333333335,1.0,1.0,0.7777777777777778,1.0,0.7777777777777778,0.7272727272727273
"taaable:White_basmati_rice","dbpedia:Basmati_Rice","","-",-6.0,-6.0,24.0,-6.0,31.0,0.33333333333333326,0.0,0.22222222222222232,0.22222222222222232,0.4242424242424243,1.0,0.18518518518518523,0.6086956521739131
"taaable:Orange","dbpedia:Grane","","-",-2.0,-2.0,7.0,-2.0,12.0,0.33333333333333326,0.4,0.1777777777777777,0.1777777777777777,0.6818181818181819,1.0,0.6818181818181819,0.7
"taaable:Brown_mustard","dbpedia:Brown_Hare","","-",-5.0,-5.0,12.0,-5.0,22.0,0.3846153846153846,0.4,0.19487179487179473,0.1169230769230768,0.5291710546111028,1.0,0.6,0.6111111111111112
"taaable:Orange","dbpedia:Corngate","","-",-4.0,-4.0,7.0,-4.0,15.0,0.5,0.4,0.13888888888888884,0.13888888888888884,2.0,1.0,1.0,0.8571428571428572
"taaable:Brown_mustard","dbpedia:Brown_hare","","-",-5.0,-5.0,12.0,-5.0,22.0,0.3846153846153846,0.4,0.19487179487179473,0.1169230769230768,0.5291710546111028,1.0,0.6,0.6111111111111112
"taaable:Orange","category:Frisange","","-",-3.0,-3.0,8.0,-3.0,13.0,0.375,0.33333333333333337,0.18055555555555547,0.18055555555555547,0.6208791208791209,1.0,0.6208791208791209,0.6666666666666667
"taaable:Orange","category:France","","-",-2.0,-2.0,7.0,-2.0,11.0,0.33333333333333326,0.43333333333333335,0.22222222222222232,0.22222222222222232,0.7777777777777778,1.0,0.7777777777777778,0.7272727272727273
"taaable:Orange","category:Drainage","","-",-3.0,-3.0,8.0,-3.0,14.0,0.375,0.6666666666666667,0.18055555555555547,0.18055555555555547,2.0,1.0,1.0,0.7692307692307692
"taaable:White_basmati_rice","dbpedia:Basmati_rice","","-",-6.0,-6.0,24.0,-6.0,31.0,0.33333333333333326,0.0,0.22222222222222232,0.22222222222222232,0.3084327764518696,1.0,0.18518518518518523,0.47619047619047616
"taaable:White_basmati_rice","dbpedia:White_strike","","-",-7.0,-7.0,15.0,-7.0,30.0,0.38888888888888884,0.43333333333333335,0.18771043771043772,0.11262626262626263,0.7171428571428571,1.0,0.775368139223561,0.6666666666666667
"taaable:Short_loin","category:Storytelling","","-",-5.0,-5.0,10.0,-5.0,22.0,0.41666666666666674,0.72,0.2865079365079365,0.2578571428571428,1.9,1.0,1.0,0.8571428571428572
"taaable:Fruit_liqueur","category:Fruit_wines","","-",-5.0,-5.0,13.0,-5.0,22.0,0.3846153846153846,0.4181818181818182,0.21911421911421913,0.13146853146853144,0.5721617418351477,1.0,0.6454545454545455,0.7
"taaable:Goat-27s_milk","dbpedia:Grain_milk","","-",-4.0,-4.0,10.0,-4.0,21.0,0.36363636363636365,0.5,0.26883116883116875,0.2419480519480519,0.7714285714285715,1.0,0.8799043062200957,0.6470588235294117
"taaable:Ouzo","category:Luzon","","-",-2.0,-2.0,6.0,-2.0,8.0,0.4,0.25,0.21666666666666667,0.21666666666666667,0.4552845528455285,1.0,0.4552845528455285,0.7777777777777778
"taaable:Fruit_liqueur","category:Fruit_dishes","","-",-5.0,-5.0,13.0,-5.0,23.0,0.3846153846153846,0.4666666666666667,0.23931623931623935,0.14358974358974363,0.6086101694915254,1.0,0.6833927298645759,0.7142857142857143
"taaable:Fruit_liqueur","category:Fruit_liqueurs","","-",-1.0,-1.0,26.0,-1.0,27.0,0.0714285714285714,0.0,0.023809523809523725,0.014285714285714235,0.022222222222222254,1.0,0.02400000000000002,0.1875
"taaable:Red_food_coloring","category:Food_colorings","","-",-5.0,-5.0,26.0,-5.0,32.0,0.2941176470588236,0.0714285714285714,0.1535229476405947,0.1535229476405947,0.2812388241184465,1.0,0.16469120399251413,0.47619047619047616
"taaable:Seafood","category:Seafood","","-",0.0,0.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"taaable:Seafood","category:Seasons","","-",-3.0,-3.0,7.0,-3.0,14.0,0.4285714285714286,0.5142857142857142,0.2857142857142857,0.19999999999999996,0.7524229074889868,1.0,0.7524229074889868,0.7692307692307692
"taaable:Armagnac","dbpedia:Amanat","","-",-3.0,-3.0,8.0,-3.0,16.0,0.375,0.5,0.18055555555555547,0.16249999999999987,1.9,1.0,1.0,0.7692307692307692
"taaable:Armagnac","dbpedia:Amarna","","-",-3.0,-3.0,8.0,-3.0,16.0,0.375,0.4,0.13888888888888884,0.125,1.9,1.0,1.0,0.7692307692307692
"taaable:Armagnac","dbpedia:Amanah","","-",-3.0,-3.0,8.0,-3.0,16.0,0.375,0.5,0.18055555555555547,0.16249999999999987,1.9,1.0,1.0,0.7692307692307692
"taaable:Armagnac","dbpedia:Amanar","","-",-3.0,-3.0,8.0,-3.0,16.0,0.375,0.5,1.0,0.9,1.9,1.0,1.0,0.7692307692307692
"taaable:Armagnac","dbpedia:Amaanat","","-",-3.0,-3.0,8.0,-3.0,17.0,0.375,0.5142857142857142,0.2869047619047619,0.25821428571428573,1.9,1.0,1.0,0.7857142857142857
"taaable:Brioche","category:Ard%C3%A8che","","-",-3.0,-3.0,6.0,-3.0,13.0,0.4285714285714286,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.9238514789175583,1.0,0.9238514789175583,0.7692307692307692
"taaable:Brioche","category:Bronze","","-",-3.0,-3.0,5.0,-3.0,13.0,0.4285714285714286,0.5666666666666667,0.25396825396825395,0.20317460317460312,1.8,1.0,1.0,0.75
"taaable:Brioche","dbpedia:Riscle","","-",-3.0,-3.0,6.0,-3.0,12.0,0.4285714285714286,0.5333333333333333,0.25396825396825395,0.25396825396825395,2.0,1.0,1.0,0.9285714285714286
"taaable:Brioche","dbpedia:Richer","","-",-3.0,-3.0,9.0,-3.0,13.0,0.4285714285714286,0.33333333333333337,0.1507936507936508,0.1507936507936508,0.8509615384615384,1.0,0.8509615384615384,0.8461538461538461
"taaable:Brioche","category:BRICS","","-",-3.0,-3.0,7.0,-3.0,11.0,0.4285714285714286,0.4,0.20952380952380956,0.14666666666666672,1.9,1.0,0.7047770700636943,0.9230769230769231
"taaable:Brioche","dbpedia:Richie","","-",-3.0,-3.0,8.0,-3.0,13.0,0.4285714285714286,0.4,0.1507936507936508,0.1507936507936508,2.0,1.0,1.0,0.8461538461538461
"taaable:Brioche","dbpedia:Riche","","-",-2.0,-2.0,9.0,-2.0,13.0,0.2857142857142857,0.19999999999999996,0.09523809523809523,0.09523809523809523,0.7547770700636942,1.0,0.7547770700636942,0.7272727272727273
"taaable:Brioche","dbpedia:Richen","","-",-3.0,-3.0,9.0,-3.0,13.0,0.4285714285714286,0.33333333333333337,0.1507936507936508,0.1507936507936508,0.8509615384615384,1.0,0.8509615384615384,0.8461538461538461
"taaable:Brioche","dbpedia:Riace","","-",-3.0,-3.0,6.0,-3.0,12.0,0.4285714285714286,0.28,0.20952380952380956,0.20952380952380956,2.0,1.0,1.0,0.9230769230769231
"taaable:Brioche","dbpedia:Risce","","-",-3.0,-3.0,6.0,-3.0,12.0,0.4285714285714286,0.52,0.20952380952380956,0.20952380952380956,2.0,1.0,1.0,0.9230769230769231
"taaable:Brioche","dbpedia:Ricse","","-",-3.0,-3.0,6.0,-3.0,11.0,0.4285714285714286,0.52,0.20952380952380956,0.20952380952380956,2.0,1.0,1.0,0.9230769230769231
"taaable:Brioche","dbpedia:Richea","","-",-3.0,-3.0,9.0,-3.0,13.0,0.4285714285714286,0.33333333333333337,0.1507936507936508,0.1507936507936508,0.8509615384615384,1.0,0.8509615384615384,0.8461538461538461
"taaable:Brioche","dbpedia:Ribce","","-",-3.0,-3.0,6.0,-3.0,15.0,0.4285714285714286,0.52,0.16190476190476188,0.16190476190476188,2.0,1.0,1.0,0.9230769230769231
